date,homeTeam,awayTeam,homeScore,awayScore
2024-05-01,TEX,WAS,0.0,1.0
2024-05-01,SEA,ATL,2.0,5.0
2024-05-01,SDN,CIN,6.0,2.0
2024-05-01,OAK,PIT,4.0,0.0
2024-05-01,NYN,CHN,0.0,1.0
2024-05-01,MIA,COL,4.0,1.0
2024-05-01,MIL,TBA,7.0,1.0
2024-05-01,DET,SLN,4.0,1.0
2024-05-01,CHA,MIN,5.0,10.0
2024-05-01,BOS,SFN,6.0,2.0
2024-05-01,BAL,NYA,0.0,2.0
2024-05-01,ARI,LAN,0.0,8.0
2024-05-01,ANA,PHI,1.0,2.0
2024-05-01,HOU,CLE,2.0,3.0
2024-05-02,TEX,WAS,6.0,0.0
2024-05-02,NYN,CHN,7.0,6.0
2024-05-02,MIA,COL,5.0,4.0
2024-05-02,HOU,CLE,8.0,2.0
2024-05-02,BOS,SFN,1.0,3.0
2024-05-02,BAL,NYA,7.0,2.0
2024-05-03,WAS,TOR,9.0,3.0
2024-05-03,TBA,NYN,10.0,8.0
2024-05-03,SLN,CHA,3.0,0.0
2024-05-03,PIT,COL,2.0,3.0
2024-05-03,PHI,SFN,4.0,3.0
2024-05-03,OAK,MIA,3.0,1.0
2024-05-03,NYA,DET,2.0,1.0
2024-05-03,HOU,SEA,5.0,3.0
2024-05-03,LAN,ATL,4.0,3.0
2024-05-03,KCA,TEX,7.0,1.0
2024-05-03,CLE,ANA,0.0,6.0
2024-05-03,CIN,BAL,0.0,3.0
2024-05-03,CHN,MIL,1.0,3.0
2024-05-03,ARI,SDN,1.0,7.0
2024-05-03,MIN,BOS,5.0,2.0
2024-05-04,NYA,DET,5.0,3.0
2024-05-04,WAS,TOR,3.0,6.0
2024-05-04,TBA,NYN,3.0,1.0
2024-05-04,SLN,CHA,5.0,6.0
2024-05-04,PIT,COL,1.0,0.0
2024-05-04,PHI,SFN,14.0,3.0
2024-05-04,MIN,BOS,3.0,1.0
2024-05-04,OAK,MIA,20.0,4.0
2024-05-04,KCA,TEX,4.0,15.0
2024-05-04,HOU,SEA,0.0,5.0
2024-05-04,CLE,ANA,7.0,1.0
2024-05-04,CIN,BAL,1.0,2.0
2024-05-04,CHN,MIL,6.0,5.0
2024-05-04,ARI,SDN,1.0,13.0
2024-05-04,LAN,ATL,11.0,2.0
2024-05-05,WAS,TOR,11.0,8.0
2024-05-05,TBA,NYN,7.0,6.0
2024-05-05,PIT,COL,5.0,3.0
2024-05-05,PHI,SFN,5.0,4.0
2024-05-05,OAK,MIA,3.0,12.0
2024-05-05,NYA,DET,5.0,2.0
2024-05-05,MIN,BOS,2.0,9.0
2024-05-05,SLN,CHA,1.0,5.0
2024-05-05,KCA,TEX,2.0,3.0
2024-05-05,HOU,SEA,4.0,5.0
2024-05-05,CLE,ANA,4.0,1.0
2024-05-05,CIN,BAL,1.0,11.0
2024-05-05,CHN,MIL,5.0,0.0
2024-05-05,ARI,SDN,11.0,4.0
2024-05-05,LAN,ATL,5.0,1.0
2024-05-06,TBA,CHA,8.0,2.0
2024-05-06,SLN,NYN,3.0,4.0
2024-05-06,PIT,ANA,4.0,1.0
2024-05-06,PHI,SFN,6.0,1.0
2024-05-06,OAK,TEX,2.0,4.0
2024-05-06,MIN,SEA,3.0,1.0
2024-05-06,KCA,MIL,3.0,2.0
2024-05-06,CLE,DET,2.0,1.0
2024-05-06,CHN,SDN,3.0,6.0
2024-05-06,LAN,MIA,6.0,3.0
2024-05-07,NYA,HOU,10.0,3.0
2024-05-07,TBA,CHA,5.0,1.0
2024-05-07,SLN,NYN,5.0,7.0
2024-05-07,PIT,ANA,0.0,9.0
2024-05-07,PHI,TOR,10.0,1.0
2024-05-07,WAS,BAL,3.0,0.0
2024-05-07,MIN,SEA,6.0,10.0
2024-05-07,OAK,TEX,8.0,15.0
2024-05-07,KCA,MIL,5.0,6.0
2024-05-07,COL,SFN,0.0,5.0
2024-05-07,CLE,DET,7.0,11.0
2024-05-07,CIN,ARI,2.0,6.0
2024-05-07,CHN,SDN,3.0,2.0
2024-05-07,ATL,BOS,4.0,2.0
2024-05-07,LAN,MIA,8.0,2.0
2024-05-08,WAS,BAL,6.0,7.0
2024-05-08,TBA,CHA,1.0,4.0
2024-05-08,PIT,ANA,4.0,5.0
2024-05-08,PHI,TOR,3.0,5.0
2024-05-08,OAK,TEX,9.0,4.0
2024-05-08,NYA,HOU,9.0,4.0
2024-05-08,MIN,SEA,6.0,3.0
2024-05-08,OAK,TEX,11.0,12.0
2024-05-08,KCA,MIL,6.0,4.0
2024-05-08,COL,SFN,6.0,8.0
2024-05-08,CLE,DET,5.0,4.0
2024-05-08,CIN,ARI,3.0,4.0
2024-05-08,CHN,SDN,0.0,3.0
2024-05-08,ATL,BOS,5.0,0.0
2024-05-08,LAN,MIA,3.0,1.0
2024-05-09,NYA,HOU,3.0,4.0
2024-05-09,MIN,SEA,11.0,1.0
2024-05-09,MIL,SLN,7.0,1.0
2024-05-09,COL,SFN,9.0,1.0
2024-05-09,CHA,CLE,3.0,2.0
2024-05-09,ANA,KCA,4.0,10.0
2024-05-09,CIN,ARI,4.0,5.0
2024-05-10,NYN,ATL,2.0,4.0
2024-05-10,TBA,NYA,0.0,2.0
2024-05-10,SFN,CIN,2.0,4.0
2024-05-10,SEA,OAK,8.0,1.0
2024-05-10,TOR,MIN,2.0,3.0
2024-05-10,PIT,CHN,2.0,7.0
2024-05-10,MIL,SLN,11.0,2.0
2024-05-10,SDN,LAN,2.0,1.0
2024-05-10,DET,HOU,2.0,5.0
2024-05-10,COL,TEX,4.0,2.0
2024-05-10,CHA,CLE,6.0,3.0
2024-05-10,BOS,WAS,1.0,5.0
2024-05-10,BAL,ARI,4.0,2.0
2024-05-10,ANA,KCA,1.0,2.0
2024-05-10,MIA,PHI,2.0,8.0
2024-05-11,TBA,NYA,7.0,2.0
2024-05-11,SFN,CIN,5.0,1.0
2024-05-11,SEA,OAK,1.0,8.0
2024-05-11,SDN,LAN,0.0,5.0
2024-05-11,PIT,CHN,10.0,9.0
2024-05-11,NYN,ATL,1.0,4.0
2024-05-11,MIL,SLN,5.0,3.0
2024-05-11,TOR,MIN,10.0,8.0
2024-05-11,DET,HOU,8.0,2.0
2024-05-11,COL,TEX,8.0,3.0
2024-05-11,CHA,CLE,3.0,1.0
2024-05-11,BOS,WAS,4.0,2.0
2024-05-11,BAL,ARI,5.0,4.0
2024-05-11,ANA,KCA,9.0,3.0
2024-05-11,MIA,PHI,3.0,8.0
2024-05-12,TOR,MIN,1.0,5.0
2024-05-12,TBA,NYA,6.0,10.0
2024-05-12,SFN,CIN,6.0,5.0
2024-05-12,SEA,OAK,8.0,4.0
2024-05-12,SDN,LAN,4.0,0.0
2024-05-12,PIT,CHN,4.0,5.0
2024-05-12,NYN,ATL,4.0,3.0
2024-05-12,MIA,PHI,7.0,6.0
2024-05-12,DET,HOU,3.0,9.0
2024-05-12,COL,TEX,3.0,1.0
2024-05-12,CHA,CLE,0.0,7.0
