id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
gomec002,Gomez,Carlos,R,R,NYN,34,0,0,0,0,0,0,0,0,13,22,7,30,0,5,2,20190517,20190629
gomej002,Gomez,Jeanmar,R,R,TEX,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190519
gomey001,Gomes,Yan,R,R,WAS,108,0,0,0,104,1,0,0,0,0,0,0,0,0,4,1,20190328,20191030
gonst001,Gonsolin,Tony,R,R,LAN,11,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,20190626,20190927
gonzc001,Gonzalez,Carlos,L,L,CHN,15,0,0,0,0,0,0,0,0,4,0,13,14,0,1,0,20190603,20190627
gonzc001,Gonzalez,Carlos,L,L,CLE,30,0,0,0,0,0,0,0,0,16,0,4,20,9,1,0,20190414,20190521
gonzc002,Gonzalez,Chi Chi,R,R,COL,14,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,20190625,20190928
gonze004,Gonzalez,Erik,R,R,PIT,53,0,0,0,0,0,0,16,26,4,1,0,5,0,5,4,20190328,20190929
gonzg003,Gonzalez,Gio,R,L,MIL,19,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,20190428,20190928
gonzm002,Gonzalez,Marwin,B,R,MIN,117,0,0,0,0,23,2,40,1,21,0,44,62,3,4,0,20190328,20191007
gonzm005,Gonzales,Marco,L,L,SEA,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,20190320,20190928
goodb001,Goodwin,Brian,L,R,ANA,136,0,0,0,0,0,0,0,0,68,39,17,117,2,21,3,20190329,20190929
goodn001,Goody,Nick,R,R,CLE,39,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,20190605,20190927
goodn002,Goodrum,Niko,B,R,DET,112,0,0,0,0,18,22,1,38,20,8,5,32,4,3,0,20190328,20190823
gorda001,Gordon,Alex,L,R,KCA,150,2,0,2,0,0,0,0,0,146,0,0,146,2,2,0,20190328,20190929
gordd002,Gordon,Dee,L,R,SEA,117,0,0,0,0,0,111,0,2,0,0,0,0,2,4,5,20190320,20190929
goret001,Gore,Terrance,R,R,KCA,37,0,0,0,0,0,0,0,0,9,4,10,23,2,2,16,20190402,20190707
gossp001,Gosselin,Phil,R,R,PHI,44,0,0,0,0,0,0,1,5,6,0,0,6,0,35,0,20190419,20190929
gottt001,Gott,Trevor,R,R,SFN,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20190329,20190826
gracm003,Grace,Matt,L,L,WAS,51,51,1,50,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190823
granc001,Granderson,Curtis,L,R,MIA,138,0,0,0,0,0,0,0,0,85,0,6,89,1,59,0,20190329,20190929
grany001,Grandal,Yasmani,B,R,MIL,154,0,0,0,138,20,0,0,0,0,0,0,0,1,9,0,20190328,20191001
grany001,Grandal,Yasmani,B,R,NLS,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190709,20190709
gratb002,Graterol,Brusdar,R,R,MIN,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20190901,20191004
gratj001,Graterol,Juan,R,R,CIN,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,20190717,20190916
grayj003,Gray,Jon,R,R,COL,27,26,25,1,0,0,0,0,0,0,0,0,0,0,1,0,20190331,20190816
grays001,Gray,Sonny,R,R,CIN,34,31,31,0,0,0,0,0,0,0,0,0,0,0,1,2,20190331,20190924
grays001,Gray,Sonny,R,R,NLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greec003,Green,Chad,L,R,NYA,60,60,16,44,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20191019
grees005,Greene,Shane,R,R,ALS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190709,20190709
grees005,Greene,Shane,R,R,ATL,29,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,20190803,20191007
grees005,Greene,Shane,R,R,DET,38,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190729
greez001,Green,Zach,R,R,SFN,8,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,20190721,20190803
gregd001,Gregorius,Didi,L,R,NYA,91,0,0,0,0,0,0,0,89,0,0,0,0,1,0,1,20190607,20191019
gregl001,Gregerson,Luke,L,R,SLN,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20190505,20190516
greig001,Greiner,Grayson,R,R,DET,58,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,20190328,20190929
greiz001,Greinke,Zack,R,R,ARI,26,23,23,0,0,0,0,0,0,0,0,0,0,0,3,0,20190328,20190731
greiz001,Greinke,Zack,R,R,HOU,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20190806,20191030
gricr001,Grichuk,Randal,R,R,TOR,151,0,0,0,0,0,0,0,0,0,62,92,140,10,2,1,20190328,20190929
grist001,Grisham,Trent,L,L,MIL,52,0,0,0,0,0,0,0,0,17,21,17,43,0,13,0,20190801,20191001
grosr001,Grossman,Robbie,B,L,OAK,139,0,0,0,0,0,0,0,0,113,1,20,130,0,26,0,20190320,20191002
grotz001,Grotz,Zac,R,R,SEA,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,20190802,20190929
gruld001,Grullon,Deivy,R,R,PHI,4,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,20190922,20190928
gselr001,Gsellman,Robert,R,R,NYN,52,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,20190331,20190811
gudur001,Guduan,Reymin,L,L,HOU,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20190416,20190622
guerd001,Guerra,Deolis,R,R,MIL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190705,20190705
guerj002,Guerra,Javy,R,R,TOR,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20190329,20190517
guerj002,Guerra,Javy,R,R,WAS,42,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,20190522,20191026
guerj003,Guerra,Junior,R,R,MIL,72,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190928
guerj004,Guerra,Javy,L,R,SDN,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20190902,20190929
guert001,Guerrero,Tayron,R,R,MIA,52,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190928
guert002,Guerrieri,Taylor,R,R,TEX,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20190716,20190927
guerv002,Guerrero,Vladimir,R,R,TOR,123,0,0,0,0,0,0,96,0,0,0,0,0,24,5,0,20190426,20190927
guill001,Guillorme,Luis,L,R,NYN,45,0,0,0,0,0,8,5,8,0,0,0,0,1,25,4,20190403,20190929
guilt001,Guilbeau,Taylor,L,L,SEA,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,20190817,20190928
gurrl001,Gurriel,Lourdes,R,R,TOR,84,0,0,0,0,3,9,0,0,63,0,0,63,9,3,0,20190328,20190921
gurry001,Gurriel,Yulieski,R,R,HOU,162,0,0,0,0,128,4,42,0,0,0,0,0,1,1,0,20190328,20191030
gustj001,Gustave,Jandel,R,R,SFN,23,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,20190801,20190929
gutik001,Gutierrez,Kelvin,R,R,KCA,20,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,20190427,20190613
guzmr001,Guzman,Ronald,L,L,TEX,87,0,0,0,0,81,0,0,0,0,0,0,0,1,7,0,20190328,20190929
gyorj001,Gyorko,Jedd,R,R,LAN,24,0,0,0,0,7,1,9,0,0,0,0,0,1,12,1,20190818,20190929
gyorj001,Gyorko,Jedd,R,R,SLN,38,1,0,1,0,1,2,12,0,0,0,0,0,0,24,0,20190405,20190607
haase001,Haase,Eric,R,R,CLE,10,0,0,0,8,0,0,0,0,0,0,0,0,2,3,0,20190523,20190929
hadej001,Hader,Josh,L,L,MIL,62,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20191001
hadej001,Hader,Josh,L,L,NLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haggs001,Haggerty,Sam,B,R,NYN,11,0,0,0,0,0,1,0,0,0,0,1,1,0,3,8,20190904,20190929
hahnj001,Hahn,Jesse,R,R,KCA,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20190905,20190925
haled001,Hale,David,R,R,NYA,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20190521,20190928
hallm002,Hall,Matt,L,L,DET,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,20190806,20190925
hamec001,Hamels,Cole,L,L,CHN,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,20190331,20190928
hamib001,Hamilton,Billy,B,R,ATL,28,0,0,0,0,0,0,0,0,0,24,0,24,0,7,6,20190820,20191006
hamib001,Hamilton,Billy,B,R,KCA,93,0,0,0,0,0,0,0,0,0,90,0,90,1,2,2,20190328,20190811
hammj003,Hammer,JD,R,R,PHI,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20190526,20190717
hampg001,Hampson,Garrett,R,R,COL,105,0,0,0,0,0,50,0,15,2,31,0,33,0,18,1,20190329,20190929
handb001,Hand,Brad,L,L,ALS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190709,20190709
handb001,Hand,Brad,L,L,CLE,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190921
hanim001,Haniger,Mitch,R,R,SEA,63,0,0,0,0,0,0,0,0,0,24,43,62,1,0,1,20190320,20190606
